,caldt,tdyld
0,2010-01-04,1.1805722804149e-06
1,2010-01-05,8.333413195464099e-07
2,2010-01-06,8.3334097231472e-07
3,2010-01-07,5.555598765848299e-07
4,2010-01-08,2.7777881944424e-07
5,2010-01-11,0.0
6,2010-01-12,0.0
7,2010-01-13,0.0
8,2010-01-14,0.0
9,2010-01-15,6.250052734978e-07
10,2010-01-19,6.9444999041004e-07
11,2010-01-20,5.555589506469e-07
12,2010-01-21,5.555598765848299e-07
13,2010-01-22,2.7777881945247e-07
14,2010-01-25,2.777787037067e-07
15,2010-01-26,0.0
16,2010-01-27,0.0
17,2010-01-28,0.0
18,2010-01-29,0.0
19,2010-02-01,1.1805722804149e-06
20,2010-02-02,1.0416791451708e-06
21,2010-02-03,1.0416786026184e-06
22,2010-02-04,7.6389705837054e-07
23,2010-02-05,6.250052734978e-07
24,2010-02-08,7.638958912885e-07
25,2010-02-09,6.2500449223566e-07
26,2010-02-10,6.250042969158399e-07
27,2010-02-11,1.1805750679432e-06
28,2010-02-12,1.0416813153816e-06
29,2010-02-16,8.333413195464099e-07
30,2010-02-17,9.0278674297958e-07
31,2010-02-18,1.8056011975299e-06
32,2010-02-19,1.5972566633138e-06
33,2010-02-22,1.3194653360827e-06
34,2010-02-23,1.8055930469455e-06
35,2010-02-24,1.8055914168395e-06
36,2010-02-25,2.1528426627133e-06
37,2010-02-26,2.1528403453059e-06
38,2010-03-01,1.7361472810981e-06
39,2010-03-02,2.0139355314388e-06
40,2010-03-03,2.0139335034368e-06
41,2010-03-04,2.4306382657132e-06
42,2010-03-05,2.5000843788014e-06
43,2010-03-08,2.777870374487e-06
44,2010-03-09,2.5695203709468e-06
45,2010-03-10,2.5695170696808e-06
46,2010-03-11,2.777885808066e-06
47,2010-03-12,2.3611863747256e-06
48,2010-03-15,2.777870374487e-06
49,2010-03-16,2.9862136596971e-06
50,2010-03-17,2.986209200857e-06
51,2010-03-18,3.6807452194376e-06
52,2010-03-19,3.5418360134003e-06
53,2010-03-22,3.3334666737849e-06
54,2010-03-23,2.9862136596971e-06
55,2010-03-24,2.7084140222948e-06
56,2010-03-25,2.9862359541075e-06
57,2010-03-26,2.847331667939e-06
58,2010-03-29,3.1251171933524e-06
59,2010-03-30,3.3334611176408e-06
60,2010-03-31,3.8890552564093e-06
61,2010-04-01,4.0974572614146e-06
62,2010-04-02,4.0974488665478e-06
63,2010-04-05,4.3752297035811e-06
64,2010-04-06,4.3057687544253e-06
65,2010-04-07,4.3057594843312e-06
66,2010-04-08,4.236362355899e-06
67,2010-04-09,4.0974488665478e-06
68,2010-04-12,3.9585213660804e-06
69,2010-04-13,4.0974152875031e-06
70,2010-04-14,4.1668576505663e-06
71,2010-04-15,4.236362355899e-06
72,2010-04-16,3.9585448718446e-06
73,2010-04-19,3.8890703816639e-06
74,2010-04-20,3.8890628190099e-06
75,2010-04-21,3.7501546960075e-06
76,2010-04-22,3.7501968887838e-06
77,2010-04-23,3.8890930698498e-06
78,2010-04-26,3.750168760128e-06
79,2010-04-27,3.8196122180649e-06
80,2010-04-28,3.541804651264e-06
81,2010-04-29,3.6807452194376e-06
82,2010-04-30,3.6807384452795e-06
83,2010-05-03,3.750168760128e-06
84,2010-05-04,3.6807113489744e-06
85,2010-05-05,3.3334555615307e-06
86,2010-05-06,1.8056011975299e-06
87,2010-05-07,2.0139436434783e-06
88,2010-05-10,3.3334666737849e-06
89,2010-05-11,3.5418109236406e-06
90,2010-05-12,3.541804651264e-06
91,2010-05-13,4.0974572614146e-06
92,2010-05-14,4.0974488665478e-06
93,2010-05-17,4.2363264613537e-06
94,2010-05-18,4.5141232198248e-06
95,2010-05-19,4.3057594843312e-06
