,Mom   
197611,2.9
197612,0.77
197701,3.98
197702,0.35
197703,0.49
197704,4.22
197705,2.01
197706,1.77
197707,0.31
197708,-1.78
197709,2.06
197710,-0.13
197711,2.19
197712,1.56
197801,-0.72
197802,1.9
197803,1.37
197804,0.85
197805,2.85
197806,2.78
197807,4.22
197808,2.82
197809,-3.11
197810,-8.39
197811,5.52
197812,3.05
197901,-1.24
197902,-1.06
197903,2.88
197904,0.81
197905,-0.57
197906,0.82
197907,-1.09
197908,-0.23
197909,5.34
197910,2.12
197911,7.96
197912,4.78
198001,7.51
198002,7.88
198003,-9.59
198004,-0.42
198005,-1.11
198006,1.59
198007,0.37
198008,3.19
198009,5.44
198010,7.32
198011,15.24
198012,-6.65
198101,-7.94
198102,-1.39
198103,0.73
198104,-0.95
198105,3.75
198106,-5.9
198107,-2.52
198108,-1.12
198109,1.97
198110,4.07
198111,-0.26
198112,1.32
198201,1.73
198202,5
198203,2.93
198204,-0.41
198205,2.55
198206,5
198207,4.47
198208,-3.52
198209,4.17
198210,0.03
198211,5.89
198212,0.02
198301,-1.7
198302,3.83
198303,0.93
198304,1.8
198305,-1.59
198306,1.78
198307,-3.13
198308,-5.44
198309,-0.1
198310,-4.56
198311,-0.09
198312,0.74
198401,-2.49
198402,0.19
198403,1.09
198404,2.05
198405,1.52
198406,-0.7
198407,2.93
198408,-5.69
198409,3.67
198410,3.21
198411,1.7
198412,1.54
198501,-6.9
198502,1.82
198503,1.68
198504,3.06
198505,4
198506,3.63
198507,-3.94
198508,1.82
198509,1.48
198510,4.88
198511,-0.4
198512,-0.13
198601,2.96
198602,2.78
198603,2.45
198604,-0.5
198605,2.02
198606,5.16
198607,1.8
198608,-5.01
198609,-5.86
198610,2.69
198611,-0.32
198612,0.4
198701,2.1
198702,-2.17
198703,1.6
198704,0.26
198705,-0.68
198706,-0.2
198707,2.67
198708,-0.87
198709,0.71
198710,-7.86
198711,-1.14
198712,5.83
198801,-7.58
198802,-1.54
198803,0.63
198804,2.25
198805,0.64
198806,-2.91
198807,0.63
198808,0.33
198809,0.23
198810,1.31
198811,0.42
198812,0.42
198901,-0.14
198902,0.94
198903,3.56
198904,1.69
198905,1.56
198906,0.63
198907,5.41
198908,-0.15
198909,3.4
198910,1.36
198911,2.58
198912,2.79
199001,-3.28
199002,-0.53
199003,1.64
199004,2.43
199005,3.05
199006,2.43
199007,5.94
199008,1.76
199009,5.56
199010,6.73
199011,-5.62
199012,0.02
199101,-6.55
199102,-4.75
199103,2.76
199104,-2.4
199105,-0.09
199106,0.46
199107,4.34
199108,1.63
199109,1.73
199110,3.22
199111,1.26
199112,8.3
199201,-2.51
199202,-0.58
199203,-0.36
199204,-2.54
199205,0.13
199206,-0.61
199207,1.44
199208,-0.51
199209,1.43
199210,2.71
199211,-0.34
199212,4.44
199301,4.83
199302,3.1
199303,3.74
199304,0.33
199305,0.3
199306,4.57
199307,3.25
199308,2.58
199309,3.41
199310,-2.67
199311,-4.71
199312,2.28
199401,0.02
199402,-0.29
199403,-1.33
199404,0.41
199405,-2.15
199406,-0.82
199407,0.19
199408,1.56
199409,1.33
199410,1.43
199411,-0.2
199412,3.5
199501,-1.82
199502,-0.36
199503,0.38
199504,1.8
199505,-0.44
199506,2.9
199507,2.53
199508,0.09
199509,2.71
199510,4.11
199511,-0.65
199512,2.54
199601,0.57
199602,0.57
199603,-1.88
199604,-0.91
199605,1.55
199606,1.01
199607,-0.11
199608,-0.05
199609,2.7
199610,3.91
199611,-2.23
199612,0.61
199701,1.95
199702,-2.05
199703,0.96
199704,4.92
199705,-5.16
199706,2.62
199707,3.81
199708,-2.55
199709,1.45
199710,-0.38
